client_id,country,product_id
0,United Kingdom,DOT
0,United Kingdom,85099B
0,United Kingdom,21931
0,United Kingdom,22411
0,United Kingdom,20712
0,United Kingdom,22197
0,United Kingdom,22386
0,United Kingdom,22379
0,United Kingdom,21731
0,United Kingdom,21935
0,United Kingdom,22697
12346,United Kingdom,23166
12347,Iceland,22375
12347,Iceland,21731
12347,Iceland,84558A
12347,Iceland,22727
12347,Iceland,22196
12347,Iceland,22725
12347,Iceland,22371
12347,Iceland,22423
12347,Iceland,20719
12347,Iceland,22497
12347,Iceland,22374
12348,Finland,POST
12348,Finland,23077
12348,Finland,22952
12348,Finland,21977
12348,Finland,84991
12348,Finland,23078
12348,Finland,21213
12348,Finland,22437
12348,Finland,21726
12348,Finland,21967
12348,Finland,21982
12349,Italy,21411
12349,Italy,22430
12349,Italy,48184
12349,Italy,23283
12349,Italy,23108
12349,Italy,47504H
12349,Italy,23236
12349,Italy,22567
12349,Italy,37500
12349,Italy,22704
12349,Italy,POST
12350,Norway,22412
12350,Norway,21832
12350,Norway,21915
12350,Norway,POST
12350,Norway,20615
12350,Norway,22557
12350,Norway,79066K
12350,Norway,21171
12350,Norway,22348
12350,Norway,21864
12350,Norway,79191C
12352,Norway,M
12352,Norway,POST
12352,Norway,84050
12352,Norway,22779
12352,Norway,22645
12352,Norway,37448
12352,Norway,22413
12352,Norway,22780
12352,Norway,22784
12352,Norway,21914
12352,Norway,22701
12353,Bahrain,37449
12353,Bahrain,22890
12353,Bahrain,37450
12353,Bahrain,37446
12354,Spain,23054
12354,Spain,21731
12354,Spain,21891
12354,Spain,22623
12354,Spain,20749
12354,Spain,21244
12354,Spain,22668
12354,Spain,22344
12354,Spain,21380
12354,Spain,21242
12354,Spain,23008
12355,Bahrain,22698
12355,Bahrain,22693
12355,Bahrain,22649
12355,Bahrain,23077
12355,Bahrain,23076
12355,Bahrain,72802C
12355,Bahrain,72802B
12355,Bahrain,22699
12355,Bahrain,22423
12355,Bahrain,85040A
12355,Bahrain,22890
