country,product_id
Australia,22720
Australia,21731
Australia,20725
Australia,22699
Australia,22382
Australia,22138
Australia,47566
Australia,84978
Australia,22617
Australia,22090
Australia,23236
Austria,POST
Austria,22326
Austria,22328
Austria,22139
Austria,22630
Austria,22556
Austria,22846
Austria,20718
Austria,23008
Austria,22029
Austria,22557
Bahrain,72802B
Bahrain,22890
Bahrain,23076
Bahrain,22423
Bahrain,23077
Bahrain,22693
Bahrain,72802C
Bahrain,22699
Bahrain,72802A
Bahrain,37450
Bahrain,22698
Belgium,POST
Belgium,22326
Belgium,22629
Belgium,22630
Belgium,22328
Belgium,20726
Belgium,22423
Belgium,22727
Belgium,20724
Belgium,22551
Belgium,20725
Brazil,15056P
Brazil,21260
Brazil,21181
Brazil,21166
Brazil,22662
Brazil,22488
Brazil,22423
Brazil,23052
Brazil,22699
Brazil,22630
Brazil,23050
Canada,23192
Canada,23190
Canada,10133
Canada,79030D
Canada,22561
Canada,22100
Canada,21703
Canada,16156L
Canada,15044D
Canada,21232
Canada,22400
Channel Islands,20725
Channel Islands,22690
Channel Islands,85099B
Channel Islands,21755
Channel Islands,22423
Channel Islands,22692
Channel Islands,20828
Channel Islands,20914
Channel Islands,21754
Channel Islands,22384
Channel Islands,21080
Cyprus,22423
Cyprus,22804
Cyprus,85123A
Cyprus,22749
Cyprus,22699
Cyprus,23245
Cyprus,22720
Cyprus,20970
Cyprus,22274
Cyprus,37449
Cyprus,22666
Czech Republic,84459A
Czech Republic,22231
Czech Republic,POST
Czech Republic,22930
Czech Republic,84347
Czech Republic,21253
Czech Republic,22244
Czech Republic,47421
Czech Republic,22250
Czech Republic,21373
Czech Republic,20974
Denmark,POST
Denmark,22630
Denmark,22629
Denmark,22631
Denmark,22728
Denmark,22961
Denmark,22556
Denmark,22467
Denmark,22326
Denmark,23256
Denmark,22730
EIRE,C2
EIRE,22423
EIRE,22699
EIRE,85123A
EIRE,21790
EIRE,22197
EIRE,22961
EIRE,22697
EIRE,22960
EIRE,23245
EIRE,21212
European Community,POST
European Community,22452
European Community,22842
European Community,22841
European Community,22314
European Community,22843
European Community,22840
European Community,22960
European Community,22312
European Community,22453
European Community,85132C
Finland,POST
Finland,84997D
Finland,84997C
Finland,85099B
Finland,23203
Finland,84997A
Finland,21394
Finland,21430
Finland,20750
Finland,22221
Finland,21731
France,POST
France,23084
France,21731
France,22554
France,22556
France,22326
France,20725
France,22352
France,22551
France,20750
France,22423
Germany,POST
Germany,22326
Germany,22423
Germany,22328
Germany,22554
Germany,20719
Germany,22556
Germany,22551
Germany,22077
Germany,20712
Germany,22629
Greece,POST
Greece,22922
Greece,23159
Greece,23154
Greece,21700
Greece,23155
Greece,21936
Greece,20982
